,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
239,240,HATS-23,HATS-23 b,1,2.1605156,0.03397,1.86,747,5780,1.12,4,G V,5081912,5081912000,2.23E+30,170991.9833,17.09919833,50.81912,132975.12,20.87193847
240,241,HATS-24,HATS-24 b,1,1.3484954,0.02547,1.487,510,6346,1.21,3,F V,3810312,3810312000,2.41E+30,205254.5175,20.52545175,38.10312,106308.604,16.6863293
241,242,HATS-25,HATS-25 b,1,4.2986432,0.05163,1.26,466,5715,0.99,4,G,7723848,7723848000,1.97E+30,130401.0374,13.04010374,77.23848,90079.92,14.13905509
242,243,HATS-26,HATS-26 b,1,3.3023881,0.04735,1.75,907,6071,1.3,3,F,7083560,7083560000,2.59E+30,156036.4986,15.60364986,70.8356,125111,19.63757652
243,244,HATS-27,HATS-27 b,1,4.637038,0.0611,1.5,840,6438,1.42,3,F,9140560,9140560000,2.82E+30,143561.5302,14.35615302,91.4056,107238,16.83220844
244,245,HATS-28,HATS-28 b,1,3.1810781,0.04131,1.194,521,5498,0.93,4,G,6179976,6179976000,1.85E+30,141295.5189,14.12955189,61.79976,85361.448,13.39843792
245,246,HATS-29,HATS-29 b,1,4.6058749,0.05475,1.251,351,5670,1.03,4,G,8190600,8190600000,2.05E+30,129163.874,12.9163874,81.906,89436.492,14.03806184
247,248,HATS-30,HATS-30 b,1,3.1743516,0.04354,1.175,339,5943,1.09,4,G,6513584,6513584000,2.17E+30,148999.0668,14.89990668,65.13584,84003.1,13.18522995
253,254,HATS-36,HATS-36 b,1,4.1752387,0.05425,1.235,962,6149,1.22,4,G0 V,8115800,8115800000,2.43E+30,141219.463,14.1219463,81.158,88292.62,13.85851829
255,256,HATS-4,HATS-4 b,1,2.516729,0.0362,1.02,420,5403,1,4,G,5415520,5415520000,1.99E+30,156516.5356,15.65165356,54.1552,72921.84,11.44590174
263,264,HATS-5,HATS-5 b,1,4.763387,0.0542,0.912,257,5304,0.94,4,G,8108320,8108320000,1.87E+30,124016.3072,12.40163072,81.0832,65200.704,10.23398273
268,269,HATS-6,HATS-6 b,1,3.3252725,0.03623,0.998,148.4,3724,0.57,6.1,M1 V,5420008,5420008000,1.13E+30,118118.459,11.8118459,54.20008,71349.016,11.19902935
269,270,HATS-7,HATS-7 b,1,3.185315,0.04012,0.563,257,4985,0.85,5.2,K2,6001952,6001952000,1.69E+30,137070.3471,13.70703471,60.01952,40249.996,6.317688903
296,297,HD 106315,HD 106315 b,2,9.55804,0.0905,0.207,109.7,6277,1.08,3.5,F5 V,13538800,13538800000,2.15E+30,102873.1646,10.28731646,135.388,14798.844,2.322844765
297,298,HD 106315,HD 106315 c,2,21.05788,0.1533,0.385,109.7,6277,1.08,3.5,F5 V,22933680,22933680000,2.15E+30,79041.52523,7.904152523,229.3368,27524.42,4.320266834
