Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
3364,Kepler-927,Kepler-927 b,1,9.1149903,,0.153,879,5743,0.99,,
3365,Kepler-928,Kepler-928 b,1,3.9324613,,0.142,532,4700,0.73,,
3366,Kepler-929,Kepler-929 b,1,0.92103214,,0.099,820,5869,1.01,,
3367,Kepler-93,Kepler-93 b,2,4.72674,,0.14,,5669,1.09,,
3368,Kepler-93,Kepler-93 c,2,1460,,,,5669,1.09,,
3369,Kepler-930,Kepler-930 b,1,71.4517775,,0.19,905,6335,1.25,,
3370,Kepler-931,Kepler-931 b,1,8.03755877,,0.119,490,5241,0.86,,
3371,Kepler-932,Kepler-932 b,1,1.9214374,,0.122,478,5331,0.87,,
3372,Kepler-933,Kepler-933 b,1,14.20443009,,0.219,922,5346,0.87,,
3373,Kepler-934,Kepler-934 b,1,55.6738309,,0.186,603,5001,0.81,,
3374,Kepler-935,Kepler-935 b,1,4.88083852,,0.12,482,4830,0.78,,
3375,Kepler-936,Kepler-936 b,1,10.56134221,,0.129,687,5482,0.92,,
3376,Kepler-937,Kepler-937 b,2,67.668827,,0.332,1482,6095,1.15,,
3377,Kepler-937,Kepler-937 c,2,153.343364,,0.238,1482,6095,1.15,,
3378,Kepler-938,Kepler-938 b,1,52.6298417,,0.198,861,5533,0.92,,
3379,Kepler-939,Kepler-939 b,1,14.878296,,0.156,1029,5471,0.88,,
3380,Kepler-94,Kepler-94 b,2,2.50806,,0.313,191,4781,0.81,6,M0 V
3381,Kepler-94,Kepler-94 c,2,820.3,,,191,4781,0.81,6,M0 V
3382,Kepler-940,Kepler-940 b,1,59.6225257,,0.298,1317,5769,0.97,,
3383,Kepler-941,Kepler-941 b,1,17.42395198,,0.275,1105,5539,0.89,,
3384,Kepler-942,Kepler-942 b,1,44.96417488,,0.19,218,4861,0.81,,
3385,Kepler-943,Kepler-943 b,1,49.7701438,,0.529,1239,5612,0.93,,
3386,Kepler-944,Kepler-944 b,1,43.3167737,,0.235,1035,5409,0.86,,
3387,Kepler-945,Kepler-945 b,1,31.0033814,,0.235,1543,5718,0.97,,
3388,Kepler-946,Kepler-946 b,1,11.79162572,,0.172,918,5665,0.94,,
3389,Kepler-947,Kepler-947 b,1,26.9644317,,0.203,1188,5508,0.9,,
3390,Kepler-948,Kepler-948 b,1,7.76846622,,0.165,884,5679,0.96,,
3391,Kepler-949,Kepler-949 b,1,8.6893073,,0.26,572,5403,0.89,,
3392,Kepler-95,Kepler-95 b,1,11.5231,,0.305,443,5699,1.08,,
3393,Kepler-950,Kepler-950 b,1,98.7180406,,0.801,1489,5857,1.02,,
3394,Kepler-951,Kepler-951 b,1,71.52530845,,0.499,408,4834,0.77,,
3395,Kepler-952,Kepler-952 b,1,130.3546919,,0.682,1167,5730,1,,
3396,Kepler-953,Kepler-953 b,2,88.40655258,,0.376,240,5416,0.95,,
3397,Kepler-953,Kepler-953 c,2,9.10967112,,0.106,240,5416,0.95,,
3398,Kepler-954,Kepler-954 b,1,16.78176602,,0.207,224,4990,0.82,,
3399,Kepler-955,Kepler-955 b,1,14.53244172,,0.279,637,5350,0.89,,
3400,Kepler-956,Kepler-956 b,1,5.24867263,,0.268,631,6040,1.1,,
3401,Kepler-957,Kepler-957 b,1,5.90741354,,0.491,749,4963,0.81,,
3402,Kepler-958,Kepler-958 b,1,9.7678805,,0.184,467,5421,0.91,,
3403,Kepler-959,Kepler-959 b,1,14.80074836,,0.391,1003,7005,1.6,,
3404,Kepler-96,Kepler-96 b,1,16.2385,,0.238,134,5690,1,,
3405,Kepler-960,Kepler-960 b,1,3.12686223,,0.204,298,4755,0.77,,
3406,Kepler-961,Kepler-961 b,1,16.87727414,,0.227,607,5582,0.96,,
3407,Kepler-962,Kepler-962 b,1,12.05707239,,0.176,439,5478,0.93,,
3408,Kepler-963,Kepler-963 b,1,9.97683705,,0.237,786,5461,0.91,,
3409,Kepler-964,Kepler-964 b,1,13.5225106,,0.189,478,5427,0.93,,
3410,Kepler-965,Kepler-965 b,1,134.2527298,,0.302,618,5886,1.05,,
3411,Kepler-966,Kepler-966 b,1,99.747622,,0.368,773,5840,1.02,,
3412,Kepler-967,Kepler-967 b,2,13.22713379,,0.21,499,5178,0.84,,
3413,Kepler-967,Kepler-967 c,2,198.7112502,,0.326,499,5178,0.84,,
3414,Kepler-968,Kepler-968 b,2,3.69298373,,0.178,312,4598,0.76,,
3415,Kepler-968,Kepler-968 c,2,5.70940492,,0.151,312,4598,0.76,,
3416,Kepler-969,Kepler-969 b,2,34.1731714,,0.185,411,5214,0.92,,
3417,Kepler-969,Kepler-969 c,2,1.6829346,,0.088,411,5214,0.92,,
3418,Kepler-97,Kepler-97 b,2,2.58664,,0.132,393,5779,0.94,,
3419,Kepler-97,Kepler-97 c,2,789,,,393,5779,0.94,,
3420,Kepler-970,Kepler-970 b,1,16.73652231,,0.247,350,4511,0.7,,
3421,Kepler-971,Kepler-971 b,1,9.59070716,,0.19,345,5431,0.88,,
3422,Kepler-972,Kepler-972 b,1,7.03932553,,0.415,1304,6146,1.15,,
3423,Kepler-973,Kepler-973 b,1,49.6077331,,0.175,297,5213,0.86,,
3424,Kepler-974,Kepler-974 b,1,4.19449651,,0.14,121,3687,0.52,,
3425,Kepler-975,Kepler-975 b,1,1.97034246,,0.132,404,4897,0.8,,
3426,Kepler-976,Kepler-976 b,1,105.9564148,,0.353,1020,5232,0.87,,
3427,Kepler-977,Kepler-977 b,1,26.85328322,,0.234,664,5315,0.87,,
3428,Kepler-978,Kepler-978 b,1,49.6221509,,0.267,624,6002,1.07,,
3429,Kepler-979,Kepler-979 b,1,8.0880135,,0.243,606,5310,0.87,,
3430,Kepler-98,Kepler-98 b,1,1.54168,,0.178,390,5539,0.99,,
3431,Kepler-980,Kepler-980 b,1,11.55102504,,0.238,804,5935,1.05,,
3432,Kepler-981,Kepler-981 b,1,4.46975774,,0.206,913,5718,0.98,,
3433,Kepler-982,Kepler-982 b,1,15.7738221,,0.201,702,6139,1.16,,
3434,Kepler-983,Kepler-983 b,1,60.0855082,,0.211,655,6052,1.13,,
3435,Kepler-984,Kepler-984 b,1,43.0342272,,0.189,461,5610,0.96,,
3436,Kepler-985,Kepler-985 b,1,116.331901,,0.266,741,5434,0.91,,
3437,Kepler-986,Kepler-986 b,1,56.4349938,,0.211,563,5642,0.96,,
3438,Kepler-987,Kepler-987 b,1,105.3033148,,0.291,936,5637,0.97,,
3439,Kepler-988,Kepler-988 b,1,17.76080053,,0.185,248,4005,0.55,,
3440,Kepler-989,Kepler-989 b,1,7.96431535,,0.197,484,5074,0.82,,
3441,Kepler-99,Kepler-99 b,1,4.60358,,0.132,210,4782,0.79,,
3442,Kepler-990,Kepler-990 b,2,9.91723428,,0.232,933,5948,1.05,,
3443,Kepler-990,Kepler-990 c,2,0.53835431,,0.136,933,5948,1.05,,
3444,Kepler-991,Kepler-991 b,1,82.5342519,,0.227,370,4392,0.64,,
3445,Kepler-992,Kepler-992 b,1,20.16034462,,0.145,268,4944,0.8,,
3446,Kepler-993,Kepler-993 b,1,22.08557563,,0.265,298,3843,0.57,,
