,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi_Major_Axis_km,Semi_Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii,Distance_to_Star_ly,minimum_Travel_Time_yr
963,964,K2-233,K2-233 b,3,2.46746,0.03317,0.125,69.0,4950.0,0.8,5.3,K3,4962232.0,4962232000.0,1.5912e+30,146246.93380730765,14.624693380730765,49.62232,8936.5,1.4026840370428504,224.94,22002475.715839185
964,965,K2-233,K2-233 c,3,7.06142,0.06687,0.11900000000000001,69.0,4950.0,0.8,5.3,K3,10003752.0,10003752000.0,1.5912e+30,103001.56980292642,10.300156980292641,100.03752,8507.548,1.3353552032647937,224.94,22002475.715839185
965,966,K2-233,K2-233 d,3,24.3662,0.1527,0.23600000000000002,69.0,4950.0,0.8,5.3,K3,22843920.0,22843920000.0,1.5912e+30,68161.6330185304,6.81616330185304,228.4392,16872.112,2.6482674619369018,224.94,22002475.715839185
966,967,K2-237,K2-237 b,1,2.18056,0.037000000000000005,1.65,458.0,6257.0,1.28,3.6,F6 V,5535200.000000001,5535200000.000001,2.54592e+30,175153.42519837388,17.51534251983739,55.35200000000001,117961.79999999999,18.515429288965624,1493.08,146045418.5196282
967,968,K2-238,K2-238 b,1,3.20466,0.046,1.3,453.0,5630.0,1.19,4.2,G2 V,6881600.0,6881600000.0,2.3669099999999998e+30,151463.87958249918,15.146387958249917,68.816,92939.6,14.587913985245645,1476.78,144451036.22137898
968,969,K2-239,K2-239 b,3,5.24,0.0441,0.098,49.0,3420.0,0.4,6.3,M3.0 V,6597360.0,6597360000.0,7.956e+29,89686.11519006146,8.968611519006146,65.9736,7006.216,1.0997042850415948,159.73999999999998,15624946.522842318
969,970,K2-239,K2-239 c,3,7.775,0.0576,0.08900000000000001,49.0,3420.0,0.4,6.3,M3.0 V,8616960.0,8616960000.0,7.956e+29,78475.35079130378,7.8475350791303775,86.1696,6362.7880000000005,0.9987110343745096,159.73999999999998,15624946.522842318
970,971,K2-239,K2-239 d,3,10.115,0.0685,0.098,49.0,3420.0,0.4,6.3,M3.0 V,10247600.0,10247600000.0,7.956e+29,71961.33666618721,7.196133666618722,102.476,7006.216,1.0997042850415948,159.73999999999998,15624946.522842318
973,974,K2-240,K2-240 b,2,6.034,0.0513,0.17800000000000002,70.0,3810.0,0.58,6.0,M0.5 V,7674480.0,7674480000.0,1.1536199999999999e+30,100131.29339554837,10.013129339554837,76.7448,12725.576000000001,1.9974220687490192,228.2,22321352.175489027
974,975,K2-240,K2-240 c,2,20.523000000000003,0.1159,0.161,70.0,3810.0,0.58,6.0,M0.5 V,17338640.0,17338640000.0,1.1536199999999999e+30,66617.26376956425,6.661726376956425,173.3864,11510.212,1.8066570397111912,228.2,22321352.175489027
999,1000,K2-260,K2-260 b,1,2.6266657,0.0404,1.5519999999999998,676.32,6367.0,1.39,3.6,F6 V,6043840.0,6043840000.0,2.76471e+30,174675.19201297726,17.467519201297726,60.4384,110955.58399999999,17.415725003924027,2204.8032,215662527.190382
1000,1001,K2-261,K2-261 b,1,11.63344,0.102,0.85,214.58,5537.0,1.1,4.7,G7 IV/V,15259199.999999998,15259199999.999998,2.1879e+30,97793.67536388266,9.779367536388266,152.59199999999998,60768.2,9.538251451891382,699.5308,68424510.71166337
1094,1095,KELT-10,KELT-10 b,1,4.1662739,0.0525,1.399,183.0,5948.0,1.11,4.0,G0 V,7854000.0,7854000000.0,2.20779e+30,136929.28784642776,13.692928784642776,78.54,100017.308,15.698839742583582,596.5799999999999,58354392.1159213
